,Month,DayOfWeek,Time,LateAircraftDelay
1543353,3,5,17,34.0
5481136,10,3,12,45.0
624479,2,5,21,76.0
5518904,10,5,22,48.0
6884706,12,5,11,25.0
428774,1,1,21,17.0
4474583,8,7,17,70.0
6825714,12,4,14,27.0
1844398,4,6,11,9.0
3839386,7,1,17,46.0
5137605,9,1,15,17.0
6535406,12,4,17,83.0
5407379,10,5,14,22.0
5478141,10,5,15,42.0
1585158,3,6,12,120.0
3119384,6,7,11,64.0
3411004,6,2,13,3.0
3517261,6,1,14,7.0
4251608,8,5,13,57.0
1209078,3,4,17,33.0
3850094,7,1,14,16.0
1804727,4,1,20,45.0
3839788,7,7,20,49.0
1846854,4,7,19,15.0
1895901,4,3,17,121.0
5860060,10,4,17,156.0
6532388,12,3,11,23.0
607514,2,7,14,345.0
4472135,8,7,18,35.0
435438,1,1,17,2.0
3111469,6,1,17,48.0
3104805,6,5,13,32.0
3829909,7,4,20,140.0
1252852,3,3,21,12.0
1740222,3,5,19,26.0
6733490,12,1,10,57.0
1432333,3,7,8,7.0
5936942,10,6,16,38.0
1875963,4,1,11,6.0
1844110,4,6,21,24.0
3235666,6,1,17,2.0
3933172,7,4,18,34.0
1663315,3,5,10,1.0
6860581,12,2,19,25.0
580499,1,5,15,30.0
49203,1,5,17,31.0
249828,1,5,13,3.0
4359874,8,3,9,21.0
4326678,8,7,17,14.0
988219,2,7,18,28.0
5968647,11,2,16,48.0
2454186,5,4,20,87.0
3275836,6,2,13,126.0
606349,2,7,12,9.0
2013074,4,6,18,38.0
6232619,11,5,9,15.0
1601628,3,2,15,22.0
3799669,7,7,21,45.0
6692740,12,1,17,8.0
1196324,3,7,19,6.0
1538812,3,6,19,106.0
3082978,6,6,21,4.0
1668783,3,1,15,37.0
5931359,10,2,10,49.0
207703,1,5,13,46.0
3573963,6,4,18,21.0
4275806,8,5,19,21.0
6633072,12,2,11,59.0
6463337,11,4,10,18.0
483841,1,7,13,13.0
1077929,2,7,19,22.0
546041,1,4,15,79.0
616905,2,3,11,3.0
2701923,5,2,18,7.0
4676547,8,3,17,22.0
5722950,10,3,17,18.0
2052051,4,1,15,17.0
6226881,11,4,13,32.0
127650,1,4,17,104.0
2021432,4,1,18,9.0
6042966,11,4,21,46.0
6119919,11,6,13,52.0
5005378,9,1,16,40.0
3452453,6,1,16,18.0
2217542,4,5,15,21.0
1090119,2,4,13,10.0
2670049,5,2,7,26.0
5094740,9,5,19,53.0
3949113,7,2,14,11.0
607488,2,7,14,292.0
5437010,10,7,18,8.0
2749186,5,2,20,51.0
229210,1,7,16,53.0
2217547,4,3,15,17.0
3024015,6,3,20,28.0
3417814,6,1,13,9.0
5379896,9,4,17,62.0
3483168,6,5,11,114.0
1773937,3,2,15,47.0
739919,2,2,8,18.0
2505501,5,4,17,26.0
6427363,11,7,19,50.0
5851186,10,5,16,23.0
2418473,5,1,19,35.0
2911248,5,4,16,66.0
6795846,12,4,8,18.0
609917,2,1,20,6.0
1213042,3,5,18,38.0
298450,1,3,13,64.0
2948452,5,6,23,108.0
2236634,4,1,12,8.0
6535401,12,4,16,24.0
1148150,2,5,22,92.0
2140549,4,6,19,45.0
6002355,11,5,13,92.0
2329934,4,2,20,5.0
3169563,6,3,8,10.0
2089360,4,4,19,81.0
2740891,5,5,10,44.0
6213409,11,6,12,37.0
100627,1,7,21,98.0
1847566,4,7,16,18.0
347546,1,6,21,6.0
2457391,5,5,13,2.0
6939475,12,3,18,103.0
1100266,2,5,20,58.0
2415784,5,7,18,29.0
6583679,12,6,14,38.0
3521801,6,1,20,40.0
4319169,8,4,18,17.0
6314291,11,1,20,24.0
3050703,6,4,15,51.0
2090618,4,5,18,8.0
3020717,6,2,21,196.0
5490803,10,5,21,19.0
4058123,7,4,17,6.0
4024407,7,1,13,52.0
3553073,6,6,18,30.0
3050732,6,4,19,65.0
1901606,4,1,14,18.0
1792554,4,4,16,29.0
2858210,5,5,13,55.0
3092878,6,7,19,25.0
3983402,7,5,18,62.0
886959,2,5,13,17.0
456923,1,5,14,72.0
4877018,9,5,15,6.0
6933019,12,7,19,90.0
203149,1,2,16,100.0
3073894,6,4,18,83.0
6516926,12,5,14,12.0
3052343,6,4,16,69.0
6093801,11,3,16,19.0
3200394,6,7,18,30.0
3655697,7,5,8,33.0
3042130,6,1,19,12.0
6731993,12,1,19,163.0
6922016,12,2,18,92.0
2525384,5,6,14,134.0
3756575,7,6,22,94.0
1256684,3,4,12,12.0
1593513,3,2,16,48.0
3855656,7,3,10,38.0
3561218,6,5,16,19.0
6507100,12,2,18,37.0
2479151,5,5,19,34.0
3721281,7,3,21,204.0
2725765,5,5,18,30.0
6419011,11,7,17,4.0
6818572,12,5,12,48.0
232905,1,5,20,32.0
170698,1,2,19,150.0
5060477,9,1,21,23.0
170628,1,2,19,41.0
3975562,7,2,19,95.0
6044806,11,2,16,52.0
6228891,11,5,17,8.0
5124528,9,3,12,20.0
2486450,5,7,19,22.0
355374,1,3,9,34.0
5478134,10,5,19,23.0
1703968,3,6,15,7.0
6639369,12,2,7,6.0
2516711,5,4,17,122.0
459380,1,1,10,19.0
498582,1,7,13,19.0
3312162,6,7,11,12.0
6843966,12,3,15,15.0
6551697,12,2,21,20.0
6768115,12,6,11,76.0
1748925,3,7,20,201.0
1093123,2,5,15,24.0
6521612,12,6,14,21.0
6230827,11,2,8,13.0
4673606,8,6,18,86.0
4731516,8,5,16,17.0
6325561,11,4,19,64.0
5418585,10,1,11,18.0
3921369,7,2,14,25.0
640107,2,3,18,16.0
3597380,6,6,6,16.0
6098536,11,5,9,5.0
350754,1,5,18,1.0
515777,1,6,23,32.0
549752,1,7,15,2.0
976239,2,7,17,19.0
2966708,5,2,9,10.0
301339,1,3,18,38.0
2621113,5,5,20,122.0
29995,1,6,13,31.0
6244023,11,4,10,28.0
1285135,3,5,9,16.0
1284555,3,4,10,97.0
204517,1,3,21,19.0
503119,1,5,21,49.0
1695073,3,5,12,13.0
6371088,11,1,21,23.0
6640340,12,1,10,98.0
6887812,12,2,16,53.0
6029136,11,7,15,37.0
4905776,9,7,20,11.0
722704,2,5,10,22.0
499061,1,3,18,28.0
3414928,6,5,19,86.0
840309,2,2,10,23.0
2509612,5,3,19,48.0
1159919,2,6,20,12.0
1500495,3,1,14,28.0
2884108,5,5,17,161.0
4166187,7,6,18,61.0
3222731,6,7,18,22.0
3402838,6,2,14,12.0
3273586,6,7,9,21.0
6177127,11,5,11,25.0
3250628,6,1,17,24.0
6028085,11,7,15,39.0
1192950,3,6,10,11.0
4877574,9,5,20,17.0
4021899,7,3,19,5.0
5392465,10,7,16,19.0
5072274,9,4,18,174.0
6456611,11,5,16,15.0
6841823,12,1,19,29.0
1144719,2,1,9,48.0
2873907,5,6,20,13.0
1845589,4,6,10,200.0
1723798,3,7,10,89.0
4260862,8,1,19,10.0
5485471,10,4,14,8.0
6679199,12,5,21,45.0
2448189,5,3,9,12.0
1505370,3,6,15,11.0
5916877,10,5,14,20.0
1814134,4,4,19,18.0
3446030,6,5,18,113.0
2374090,4,6,22,23.0
3171165,6,4,17,55.0
3404980,6,5,16,17.0
800978,2,6,8,20.0
1271256,3,1,16,30.0
1185215,3,4,13,3.0
2890619,5,5,12,66.0
6140651,11,4,18,103.0
1679293,3,7,18,2.0
6965583,12,1,14,87.0
666449,2,4,15,16.0
4956695,9,3,20,19.0
1139804,2,3,12,159.0
932154,2,7,21,16.0
1796714,4,6,18,21.0
2373056,4,5,10,34.0
3686731,7,7,18,70.0
635520,2,1,10,8.0
6829074,12,5,10,12.0
5335245,9,2,15,110.0
4480520,8,7,17,20.0
3304594,6,1,10,19.0
220954,1,2,12,26.0
1545120,3,7,20,208.0
3392543,6,2,17,112.0
1193409,3,6,18,34.0
6538235,12,5,13,84.0
4306147,8,7,14,1.0
4546097,8,6,17,41.0
1096527,2,7,9,7.0
6148652,11,4,16,32.0
6877937,12,7,16,73.0
4365200,8,7,21,22.0
2833700,5,2,8,17.0
4399759,8,6,14,57.0
1454880,3,5,13,5.0
3434556,6,1,19,91.0
5477936,10,5,18,7.0
3144546,6,5,13,30.0
5845497,10,3,19,63.0
4719902,8,5,13,35.0
5431137,10,5,17,30.0
1230428,3,3,20,49.0
4914708,9,3,13,28.0
552465,1,5,14,30.0
4240514,8,2,14,17.0
3349103,6,2,21,10.0
626062,2,5,14,28.0
5316670,9,3,18,20.0
6692008,12,2,14,81.0
1233704,3,4,19,106.0
643840,2,4,20,15.0
1866284,4,5,16,2.0
4035597,7,4,17,66.0
4651011,8,1,20,11.0
1229043,3,3,19,280.0
1820063,4,6,18,39.0
3221278,6,4,19,95.0
2632548,5,6,10,43.0
3476249,6,2,15,19.0
5767211,10,1,15,11.0
2781478,5,2,15,27.0
3190775,6,1,9,92.0
403067,1,2,10,73.0
623588,2,5,8,20.0
3640195,7,7,17,75.0
2284026,4,2,16,1.0
4883459,9,7,15,2.0
4432318,8,7,17,53.0
4154363,7,5,18,15.0
77560,1,7,15,22.0
3431898,6,5,14,58.0
3326953,6,6,14,14.0
3190868,6,1,11,16.0
3801974,7,2,14,31.0
5049519,9,5,11,10.0
1484,1,4,18,62.0
3078437,6,5,21,165.0
6806124,12,5,20,316.0
692333,2,5,20,34.0
4645966,8,1,10,18.0
1792662,4,4,21,16.0
6363983,11,7,12,9.0
1850665,4,1,16,16.0
6680890,12,6,12,12.0
1093417,2,6,14,32.0
256899,1,2,17,22.0
6758993,12,7,11,51.0
1460226,3,2,13,32.0
6538074,12,5,13,28.0
1633240,3,1,14,9.0
76369,1,6,18,21.0
724450,2,7,17,75.0
5617755,10,4,12,21.0
6645813,12,7,8,12.0
6773410,12,4,8,12.0
1181406,3,2,8,77.0
4122877,7,6,19,19.0
1063115,2,2,16,13.0
3016966,6,1,12,3.0
1038581,2,5,9,41.0
2608977,5,2,7,30.0
1405569,3,7,18,191.0
4037115,7,7,15,39.0
1243857,3,7,17,36.0
4297187,8,4,19,29.0
3060941,6,7,20,5.0
698833,2,5,11,5.0
3522858,6,1,15,6.0
4017717,7,3,11,7.0
5764316,10,1,14,4.0
295969,1,2,18,191.0
1211941,3,5,18,16.0
6100876,11,7,10,129.0
1779174,3,6,18,37.0
6384349,11,3,14,19.0
4188612,7,4,13,234.0
1269725,3,1,16,92.0
228072,1,4,11,31.0
2456144,5,5,17,90.0
2057874,4,6,17,26.0
1619641,3,1,19,36.0
951003,2,2,21,30.0
4344079,8,3,16,35.0
2306966,4,3,14,58.0
170186,1,2,19,56.0
1192518,3,6,17,26.0
3655175,7,5,21,79.0
411326,1,4,15,39.0
3069652,6,2,17,33.0
6528572,12,2,20,46.0
4290446,8,3,15,109.0
50388,1,5,20,28.0
4098190,7,7,15,7.0
3862475,7,2,17,116.0
4002488,7,3,15,35.0
6118233,11,3,16,95.0
2216572,4,5,13,12.0
2819464,5,5,18,12.0
2762562,5,6,16,164.0
6223824,11,7,17,105.0
2493432,5,2,18,68.0
1242115,3,7,16,48.0
732483,2,5,9,27.0
2574803,5,1,12,16.0
1089159,2,7,17,78.0
4757995,8,5,16,54.0
1616596,3,4,11,40.0
124366,1,4,15,191.0
3579775,6,1,23,104.0
1246895,3,1,18,17.0
4507562,8,1,23,22.0
6219653,11,4,17,21.0
1219174,3,7,19,27.0
4767212,8,7,18,43.0
6951476,12,2,15,33.0
1433818,3,7,18,22.0
6986347,12,4,12,38.0
1421171,3,6,12,208.0
1267331,3,7,16,15.0
3355266,6,3,19,8.0
1292756,3,1,10,138.0
3503842,6,7,11,13.0
1220257,3,7,19,27.0
6744680,12,5,19,14.0
6496163,12,5,15,1.0
6000249,11,5,20,39.0
1156589,2,2,19,7.0
504116,1,6,17,21.0
6920133,12,1,16,42.0
5557552,10,3,11,9.0
823991,2,4,13,106.0
3178470,6,1,20,27.0
4215464,7,7,18,127.0
6594467,12,1,11,37.0
7644,1,6,12,15.0
4458220,8,2,20,13.0
2293764,4,7,16,42.0
1787816,3,6,17,64.0
4275239,8,5,19,33.0
2611375,5,1,14,11.0
6730218,12,1,12,55.0
5839565,10,3,11,20.0
1207072,3,3,17,37.0
3407868,6,4,15,5.0
2139937,4,5,14,79.0
2919724,5,5,17,200.0
4303935,8,7,9,8.0
342249,1,7,12,5.0
4526057,8,2,20,12.0
1588846,3,6,10,146.0
6104469,11,6,14,111.0
867005,2,6,17,43.0
96313,1,1,17,51.0
987293,2,7,19,3.0
95219,1,5,14,18.0
6034441,11,2,17,12.0
1110669,2,2,13,25.0
3254469,6,3,17,16.0
1274444,3,6,9,18.0
6820330,12,2,12,3.0
4090886,7,4,12,11.0
1742145,3,1,9,49.0
2453933,5,4,14,106.0
6272964,11,6,15,28.0
6851134,12,6,14,41.0
4171742,7,2,10,29.0
6994220,12,1,18,44.0
127918,1,4,16,31.0
5471329,10,3,15,15.0
6028099,11,7,19,26.0
5100321,9,3,19,54.0
5415400,10,7,20,17.0
6741705,12,3,11,34.0
6763311,12,2,15,20.0
5880108,10,3,21,31.0
1180648,3,2,19,5.0
3882323,7,3,21,54.0
5609392,10,4,19,47.0
501458,1,4,14,72.0
1747981,3,7,15,40.0
886489,2,5,13,63.0
1050511,2,5,19,26.0
1739981,3,5,16,18.0
6659262,12,6,11,2.0
670464,2,5,20,26.0
2972305,5,7,18,211.0
3600919,6,2,11,74.0
3651242,7,4,19,14.0
733883,2,7,21,38.0
2201441,4,7,19,28.0
5114627,9,2,17,18.0
3057214,6,6,18,6.0
5084575,9,4,10,105.0
2484281,5,6,12,23.0
6177114,11,5,20,92.0
2478156,5,5,19,59.0
6733455,12,1,7,166.0
1797634,4,6,19,17.0
6789218,12,1,16,38.0
3633132,7,5,13,12.0
279134,1,5,20,18.0
5621782,10,5,9,24.0
3210326,6,6,16,1.0
1213707,3,5,17,70.0
1302394,3,6,12,16.0
2775605,5,3,14,9.0
6747012,12,7,17,3.0
2384265,4,7,16,32.0
1153881,2,6,18,50.0
5577961,10,6,8,17.0
5447052,10,3,21,101.0
2442739,5,1,17,14.0
3851992,7,2,20,48.0
6518242,12,5,16,18.0
1386388,3,2,10,190.0
7006257,12,3,12,31.0
3453339,6,3,18,36.0
1623766,3,6,10,29.0
785514,2,4,12,21.0
3353544,6,7,9,50.0
399057,1,4,13,4.0
5070613,9,3,13,34.0
4458379,8,5,6,36.0
4241357,8,2,9,22.0
6531635,12,2,20,8.0
2233686,4,7,19,1.0
2456465,5,5,19,22.0
1681738,3,2,22,51.0
3244216,6,6,18,34.0
3776,1,5,17,59.0
6977552,12,2,16,23.0
99913,1,7,16,74.0
3050275,6,4,17,9.0
4722453,8,5,17,58.0
1546927,3,3,17,83.0
6273482,11,7,16,89.0
2876018,5,4,20,75.0
2311192,4,7,15,63.0
280064,1,6,15,36.0
242650,1,4,13,84.0
6234908,11,6,11,96.0
3576989,6,7,20,98.0
5011673,9,5,17,59.0
926813,2,2,15,15.0
50544,1,5,18,14.0
255004,1,3,20,24.0
1285652,3,2,17,62.0
192144,1,2,15,16.0
5047367,9,1,11,1.0
91323,1,4,14,11.0
6632783,12,2,11,62.0
956762,2,2,18,81.0
6242169,11,6,14,46.0
1164436,2,3,12,34.0
971474,2,7,13,4.0
4364029,8,5,16,29.0
2580422,5,5,18,12.0
6328075,11,7,14,24.0
2323874,4,7,18,32.0
5433422,10,5,18,19.0
1393744,3,6,19,48.0
3221624,6,4,12,33.0
4772521,8,5,17,19.0
2640954,5,5,17,22.0
552258,1,5,12,20.0
1846344,4,7,18,29.0
5950894,11,4,20,26.0
540380,1,4,17,110.0
887206,2,5,19,71.0
5061916,9,1,10,4.0
2357126,4,4,12,49.0
6732098,12,1,20,36.0
3932715,7,4,12,7.0
5612804,10,3,12,15.0
1142724,2,6,12,55.0
937506,2,1,18,2.0
784304,2,3,7,35.0
4750170,8,1,18,48.0
6705712,12,4,19,8.0
3450238,6,1,9,20.0
365032,1,4,21,20.0
6906422,12,3,9,28.0
4835335,8,6,18,6.0
706196,2,3,18,155.0
6841137,12,5,16,110.0
5353957,9,4,13,21.0
4723526,8,4,17,11.0
6522777,12,7,19,24.0
5133754,9,3,10,22.0
852727,2,1,15,6.0
543991,1,6,13,26.0
6925054,12,4,15,60.0
6978166,12,1,12,23.0
4813550,8,5,14,29.0
3669280,7,2,9,15.0
3871524,7,5,18,20.0
6104991,11,4,13,68.0
5970227,11,3,20,21.0
4487656,8,3,20,18.0
300756,1,3,12,15.0
4927803,9,7,17,35.0
359213,1,2,17,60.0
636378,2,2,17,126.0
6238141,11,7,16,107.0
176260,1,6,12,97.0
6300937,11,5,18,21.0
4293967,8,4,20,19.0
2673944,5,5,21,20.0
4009027,7,5,20,10.0
5727589,10,3,12,15.0
4882968,9,7,21,16.0
993530,2,5,11,18.0
3383030,6,1,20,7.0
5186401,9,1,11,19.0
5922071,10,5,10,14.0
6465849,12,3,19,6.0
6554920,12,3,16,12.0
478764,1,5,16,11.0
69766,1,4,16,1.0
1942532,4,2,12,5.0
1779023,3,6,16,25.0
5709702,10,5,15,95.0
337200,1,1,18,31.0
3540503,6,5,0,130.0
3931877,7,3,11,6.0
636016,2,2,20,112.0
1587450,3,1,14,51.0
1736578,3,6,16,33.0
5467884,10,2,18,209.0
3850448,7,5,14,96.0
1625469,3,6,13,31.0
3419674,6,4,18,11.0
1222957,3,1,17,5.0
3991274,7,2,22,61.0
2807513,5,3,9,8.0
3502963,6,7,13,70.0
3847115,7,1,8,17.0
6177150,11,5,18,227.0
3706285,7,3,14,18.0
6977127,12,3,1,14.0
3093131,6,4,15,27.0
4791811,8,5,19,68.0
2836012,5,5,16,1.0
6025635,11,6,12,40.0
791430,2,7,11,25.0
3433161,6,1,12,134.0
5204776,9,1,10,13.0
2916744,5,3,15,14.0
6789589,12,1,13,67.0
6638429,12,7,8,149.0
1842473,4,5,8,3.0
2762035,5,5,14,14.0
6151969,11,7,20,32.0
2875860,5,1,11,55.0
2623242,5,5,19,115.0
479259,1,4,16,11.0
2647715,5,6,15,10.0
1839585,4,4,21,19.0
4165134,7,4,17,7.0
1733702,3,1,11,101.0
6919193,12,4,23,22.0
2341634,4,2,18,4.0
1594184,3,2,10,45.0
3915799,7,3,15,17.0
4823323,8,5,11,88.0
4215800,7,7,14,1.0
6645876,12,2,11,8.0
2806087,5,7,12,23.0
813227,2,2,22,10.0
420862,1,5,16,57.0
4857113,9,6,16,18.0
3008326,6,5,12,20.0
3358290,6,7,19,103.0
6866902,12,7,16,78.0
2246238,4,2,15,18.0
2327390,4,5,17,23.0
616331,2,3,13,17.0
1400436,3,6,10,16.0
6514172,12,4,15,29.0
6529165,12,2,14,18.0
6107800,11,4,12,94.0
2393061,5,7,9,40.0
6838935,12,5,19,26.0
3013700,6,7,17,26.0
2289528,4,3,15,57.0
4884196,9,1,13,17.0
6724407,12,5,16,51.0
3972929,7,6,14,18.0
3382896,6,6,18,5.0
1535719,3,2,20,52.0
1563534,3,2,16,19.0
2804361,5,2,19,25.0
3883559,7,4,16,21.0
3244269,6,2,13,18.0
3040041,6,1,10,32.0
2444577,5,1,10,10.0
2471108,5,3,20,42.0
2631908,5,5,11,41.0
3797647,7,6,20,30.0
3107879,6,1,17,18.0
3422630,6,4,19,10.0
5553960,10,7,20,74.0
1723194,3,6,7,89.0
1478766,3,6,13,12.0
3662715,7,7,21,155.0
6134118,11,3,13,20.0
3844540,7,1,17,22.0
6029713,11,7,15,200.0
5572259,10,3,10,83.0
1524424,3,3,12,1.0
990967,2,5,14,44.0
1184974,3,4,20,138.0
1419530,3,4,16,28.0
3458955,6,7,16,140.0
2275834,4,7,15,6.0
4739230,8,1,14,67.0
2034847,4,6,14,28.0
6655714,12,7,14,49.0
6515375,12,4,16,38.0
451362,1,2,17,63.0
1246569,3,1,9,15.0
534704,1,4,17,42.0
5989119,11,1,13,35.0
3524863,6,1,19,13.0
5562833,10,4,13,2.0
1234800,3,4,20,29.0
2801294,5,7,19,20.0
1951,1,4,21,27.0
1609493,3,5,14,22.0
504568,1,5,18,20.0
610656,2,1,13,62.0
2810507,5,4,20,65.0
1818098,4,5,15,26.0
3191440,6,2,13,21.0
3447565,6,6,11,37.0
4034887,7,5,17,76.0
1167997,2,5,10,26.0
835228,2,3,12,43.0
5718513,10,4,18,11.0
4207815,7,4,19,82.0
3369721,6,7,15,232.0
6786064,12,4,21,3.0
947052,2,3,11,32.0
1806125,4,2,11,14.0
6526572,12,1,16,62.0
785041,2,3,12,43.0
6031098,11,7,10,14.0
4239923,8,2,19,30.0
3236557,6,1,11,9.0
48557,1,4,15,16.0
1779432,3,6,9,110.0
2737084,5,4,19,71.0
3434375,6,5,21,6.0
2139371,4,4,19,7.0
1229210,3,3,19,96.0
6798802,12,1,13,15.0
1528461,3,4,10,9.0
3522365,6,4,19,46.0
6769247,12,1,16,42.0
1544707,3,7,16,51.0
1740529,3,5,18,32.0
6522863,12,7,16,17.0
4788817,8,7,11,14.0
6795700,12,3,19,34.0
3455109,6,4,16,75.0
3661336,7,7,14,3.0
3906972,7,1,18,32.0
6717576,12,7,14,18.0
6597489,12,6,18,19.0
3989666,7,7,20,351.0
2833193,5,3,22,105.0
2649676,5,7,20,54.0
92123,1,4,14,13.0
986475,2,3,17,19.0
1577260,3,5,10,18.0
5766168,10,3,20,47.0
1072374,2,3,16,24.0
5665324,10,4,17,8.0
1021759,2,7,17,34.0
3975484,7,2,20,65.0
2093750,4,7,20,21.0
5217557,9,1,15,13.0
3514539,6,5,19,44.0
1941657,4,7,19,195.0
5827271,10,2,20,22.0
6221101,11,6,14,42.0
3229034,6,3,19,21.0
6644950,12,7,18,38.0
3505714,6,5,17,15.0
6543147,12,6,15,6.0
612400,2,1,14,38.0
1773223,3,2,11,10.0
3355653,6,3,12,126.0
6751647,12,5,19,152.0
2022698,4,2,20,20.0
463417,1,1,10,15.0
5933553,10,3,19,26.0
4636084,8,5,15,61.0
4861631,9,1,15,22.0
2903824,5,3,11,38.0
6854461,12,1,21,3.0
6926804,12,1,15,20.0
2361687,4,1,21,123.0
5197617,9,1,10,31.0
108491,1,4,10,23.0
711994,2,1,14,55.0
3545792,6,7,17,68.0
2288088,4,5,18,27.0
102182,1,7,21,12.0
1538616,3,6,16,168.0
2803878,5,4,14,2.0
1208331,3,4,19,11.0
388422,1,7,9,13.0
1310906,3,3,16,35.0
2631625,5,1,19,28.0
101893,1,6,16,59.0
1269930,3,1,18,34.0
4337363,8,4,18,22.0
5672532,10,3,8,14.0
1679877,3,5,18,19.0
3076192,6,4,20,141.0
4757260,8,4,19,9.0
4273674,8,4,21,194.0
2262322,4,7,19,1.0
453197,1,3,13,12.0
6004604,11,6,15,13.0
3510210,6,3,9,11.0
2411206,5,5,18,3.0
2177973,4,5,9,26.0
6157193,11,7,20,48.0
1622777,3,4,12,15.0
5837928,10,4,19,5.0
3704179,7,6,10,10.0
2170135,4,4,7,21.0
703917,2,1,8,22.0
3015774,6,1,21,16.0
3040355,6,1,15,133.0
4736023,8,4,19,97.0
3475687,6,1,14,13.0
1546069,3,2,20,22.0
93131,1,4,15,20.0
6779031,12,6,12,50.0
2166075,4,4,16,4.0
92587,1,4,11,81.0
5345882,9,7,18,73.0
3422104,6,2,17,5.0
491604,1,2,13,27.0
4350775,8,3,16,21.0
8924,1,7,21,25.0
3119526,6,4,17,13.0
3454658,6,6,11,29.0
6526343,12,1,12,36.0
6941418,12,2,20,105.0
2425570,5,3,8,5.0
6855233,12,2,16,33.0
387388,1,3,15,17.0
2219122,4,5,8,27.0
4640086,8,7,13,32.0
6977819,12,2,14,25.0
1363870,3,2,8,26.0
5060272,9,1,20,4.0
6749970,12,3,8,6.0
5628200,10,4,19,27.0
6271033,11,3,11,5.0
72725,1,5,19,64.0
6103033,11,5,16,16.0
2266506,4,3,9,40.0
6182,1,6,15,28.0
1550537,3,1,21,16.0
299505,1,3,18,11.0
5996568,11,4,15,34.0
6765860,12,7,20,2.0
2614963,5,3,21,56.0
4420583,8,7,19,41.0
4216107,7,1,11,10.0
6530562,12,2,16,10.0
6673246,12,7,17,66.0
6528630,12,2,8,19.0
3643381,7,1,19,31.0
4757722,8,4,18,34.0
3214855,6,1,20,47.0
4475396,8,6,17,24.0
3349348,6,2,20,39.0
1983726,4,1,10,39.0
3177004,6,7,20,58.0
2443419,5,1,17,18.0
514781,1,6,15,19.0
6488218,12,3,20,64.0
3265866,6,1,16,64.0
6923441,12,7,21,33.0
6936597,12,1,11,51.0
2183191,4,5,9,105.0
1075754,2,4,15,4.0
500768,1,2,14,56.0
817065,2,4,13,43.0
2432767,5,5,14,20.0
4276285,8,5,20,36.0
4020268,7,6,17,28.0
3002124,6,3,21,13.0
6623272,12,7,16,242.0
6534365,12,3,13,37.0
3551793,6,4,15,10.0
6640066,12,6,14,20.0
3001297,6,3,8,7.0
1000140,2,4,13,16.0
1791038,3,1,13,14.0
842016,2,1,18,151.0
765457,2,5,8,16.0
5276989,9,7,20,92.0
1588099,3,2,14,82.0
5748417,10,3,8,51.0
564275,1,2,20,30.0
1129647,2,5,21,36.0
6309905,11,5,11,43.0
1305699,3,5,10,29.0
3850152,7,3,19,116.0
20328,1,3,20,2.0
6547943,12,1,15,6.0
2040579,4,7,19,64.0
4662596,8,5,18,55.0
4918371,9,4,17,54.0
4585071,8,3,11,120.0
617845,2,3,18,8.0
6713393,12,3,20,10.0
1585711,3,2,19,44.0
6747003,12,7,18,18.0
949519,2,7,22,162.0
286209,1,4,14,29.0
1411658,3,2,16,23.0
3435821,6,5,0,61.0
4471970,8,7,17,69.0
6626883,12,2,9,13.0
6894754,12,5,19,15.0
6541457,12,6,15,1.0
63220,1,2,18,35.0
3063234,6,1,17,138.0
83707,1,1,21,40.0
770016,2,1,14,55.0
1060500,2,4,12,20.0
2260527,4,6,14,38.0
6636147,12,1,20,10.0
632012,2,7,20,55.0
2508562,5,1,14,54.0
1338632,3,3,21,15.0
5110972,9,1,18,32.0
6856297,12,2,17,59.0
1069524,2,3,12,12.0
636609,2,2,13,54.0
1939847,4,3,15,153.0
5695183,10,5,15,88.0
3703043,7,3,18,19.0
2690006,5,5,20,100.0
1036384,2,3,16,17.0
4169004,7,4,15,74.0
3671950,7,3,17,51.0
6027709,11,7,19,104.0
6644218,12,1,10,18.0
6164932,11,2,13,72.0
3895675,7,6,17,10.0
1647566,3,3,18,20.0
1229636,3,3,9,26.0
981269,2,6,9,35.0
4320315,8,5,14,3.0
637186,2,2,17,184.0
1084658,2,6,12,29.0
3417593,6,4,19,45.0
5442782,10,2,11,27.0
2185634,4,2,18,100.0
3592593,6,2,14,7.0
1791393,4,4,21,22.0
101437,1,3,17,51.0
724706,2,3,9,20.0
4222698,7,6,20,3.0
4001774,7,1,16,38.0
659439,2,2,13,26.0
6810078,12,6,14,7.0
519394,1,4,18,4.0
1260960,3,5,16,31.0
3572180,6,5,15,12.0
6517479,12,5,13,209.0
2911974,5,2,11,51.0
205643,1,4,16,50.0
655502,2,1,11,10.0
4592711,8,7,17,55.0
1180964,3,2,20,49.0
1232097,3,4,11,125.0
6541143,12,6,20,22.0
859735,2,7,20,27.0
1625896,3,1,21,157.0
6531851,12,2,16,16.0
2340626,4,7,21,8.0
678806,2,1,18,19.0
46859,1,4,18,36.0
2363188,4,4,10,118.0
6533845,12,3,16,22.0
4178368,7,6,13,7.0
6642798,12,5,15,21.0
6492660,12,4,19,5.0
1976587,4,6,19,92.0
6725580,12,7,16,43.0
1707475,3,6,18,23.0
624701,2,5,19,16.0
60673,1,1,18,10.0
322409,1,4,19,3.0
4780858,8,7,3,94.0
1148465,2,5,14,31.0
1124108,2,3,13,69.0
6683125,12,6,15,27.0
1616940,3,3,12,57.0
1909287,4,5,21,26.0
6177162,11,5,7,6.0
1773899,3,2,18,62.0
11510,1,7,20,158.0
5746804,10,6,11,19.0
